Ticker,Symbol
MSFT,MSFT.US
MAA,MAA.US
MRNA,MRNA.US
TAP,TAP.US
MDLZ,MDLZ.US
MPWR,MPWR.US
MNST,MNST.US
MCO,MCO.US
MS,MS.US
MOS,MOS.US
MSI,MSI.US
MSCI,MSCI.US
NDAQ,NDAQ.US
NTAP,NTAP.US
NFLX,NFLX.US
NEM,NEM.US
NWSA,NWSA.US
NWS,NWS.US
NEE,NEE.US
NKE,NKE.US
NI,NI.US
NDSN,NDSN.US
NSC,NSC.US
NTRS,NTRS.US
NOC,NOC.US
NCLH,NCLH.US
NRG,NRG.US
NUE,NUE.US
NVDA,NVDA.US
NVR,NVR.US
NXPI,NXPI.US
ORLY,ORLY.US
OXY,OXY.US
ODFL,ODFL.US
OMC,OMC.US
ON,ON.US
OKE,OKE.US
ORCL,ORCL.US
OTIS,OTIS.US
PCAR,PCAR.US
PKG,PKG.US
PLTR,PLTR.US
PANW,PANW.US
PSKY,PSKY.US
PH,PH.US
PAYX,PAYX.US
PYPL,PYPL.US
PNR,PNR.US
PEP,PEP.US
PFE,PFE.US
PCG,PCG.US
PM,PM.US
PSX,PSX.US
PNW,PNW.US
PNC,PNC.US
POOL,POOL.US
PPG,PPG.US
PPL,PPL.US
PFG,PFG.US
PG,PG.US
PGR,PGR.US
PLD,PLD.US
PRU,PRU.US
PEG,PEG.US
PTC,PTC.US
PSA,PSA.US
PHM,PHM.US
PWR,PWR.US
QCOM,QCOM.US
DGX,DGX.US
Q,Q.US
RL,RL.US
RJF,RJF.US
RTX,RTX.US
O,O.US
REG,REG.US
REGN,REGN.US
RF,RF.US
RSG,RSG.US
RMD,RMD.US
RVTY,RVTY.US
HOOD,HOOD.US
ROK,ROK.US
ROL,ROL.US
ROP,ROP.US
ROST,ROST.US
RCL,RCL.US
SPGI,SPGI.US
CRM,CRM.US
SNDK,SNDK.US
SBAC,SBAC.US
SLB,SLB.US
STX,STX.US
SRE,SRE.US
NOW,NOW.US
SHW,SHW.US
SPG,SPG.US
SWKS,SWKS.US
SJM,SJM.US
SW,SW.US
SNA,SNA.US
SOLV,SOLV.US
SO,SO.US
LUV,LUV.US
SWK,SWK.US
SBUX,SBUX.US
STT,STT.US
STLD,STLD.US
STE,STE.US
SYK,SYK.US
SMCI,SMCI.US
SYF,SYF.US
SNPS,SNPS.US
SYY,SYY.US
TMUS,TMUS.US
TROW,TROW.US
TTWO,TTWO.US
TPR,TPR.US
TRGP,TRGP.US
TGT,TGT.US
TEL,TEL.US
TDY,TDY.US
TER,TER.US
TSLA,TSLA.US
TXN,TXN.US
TPL,TPL.US
TXT,TXT.US
TMO,TMO.US
TJX,TJX.US
TKO,TKO.US
TTD,TTD.US
TSCO,TSCO.US
TT,TT.US
TDG,TDG.US
TRV,TRV.US
TRMB,TRMB.US
TFC,TFC.US
TYL,TYL.US
TSN,TSN.US
USB,USB.US
UBER,UBER.US
UDR,UDR.US
ULTA,ULTA.US
UNP,UNP.US
UAL,UAL.US
UPS,UPS.US
URI,URI.US
UNH,UNH.US
UHS,UHS.US
VLO,VLO.US
VTR,VTR.US
VLTO,VLTO.US
VRSN,VRSN.US
VRSK,VRSK.US
VZ,VZ.US
VRTX,VRTX.US
VRT,VRT.US
VTRS,VTRS.US
VICI,VICI.US
V,V.US
VST,VST.US
VMC,VMC.US
WRB,WRB.US
GWW,GWW.US
WAB,WAB.US
WMT,WMT.US
DIS,DIS.US
WBD,WBD.US
WM,WM.US
WAT,WAT.US
WEC,WEC.US
WFC,WFC.US
WELL,WELL.US
WST,WST.US
WDC,WDC.US
WY,WY.US
WSM,WSM.US
WMB,WMB.US
WTW,WTW.US
WDAY,WDAY.US
WYNN,WYNN.US
XEL,XEL.US
XYL,XYL.US
YUM,YUM.US
ZBRA,ZBRA.US
ZBH,ZBH.US
ZTS,ZTS.US
