model_name,model_type,val_macro_f1,test_macro_f1,val_weighted_f1,test_weighted_f1,val_balanced_accuracy,test_balanced_accuracy,val_f1_buy,test_f1_buy,val_f1_sell,test_f1_sell,val_recall_buy,test_recall_buy,val_recall_sell,test_recall_sell,rank_val_macro_f1,rank_test_macro_f1,flag_instability,eligible_for_tuning,eligibility_reason_code,is_baseline,already_tuned,selected_for_tuning,is_provisional_production_candidate,decision_rationale
extra_trees_baseline,sklearn.ensemble._forest.ExtraTreesClassifier,0.4263,0.3076,0.432,0.36,0.43,0.3268,0.4246,0.171,0.3554,0.1767,0.3744,0.1285,0.3091,0.1679,1,5,True,False,fail_test_f1_buy|fail_test_recall_buy|flag_instability,True,False,False,False,not_selected|fail_test_f1_buy|fail_test_recall_buy|flag_instability
random_forest_baseline,sklearn.ensemble._forest.RandomForestClassifier,0.415,0.2679,0.4159,0.3173,0.4208,0.2878,0.3792,0.1061,0.4098,0.1661,0.3054,0.0782,0.4545,0.1756,2,6,True,False,fail_test_f1_buy|fail_test_recall_buy|flag_instability,True,False,False,False,not_selected|fail_test_f1_buy|fail_test_recall_buy|flag_instability
hist_gradient_boosting_baseline,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,0.4086,0.3523,0.4101,0.3875,0.4073,0.3503,0.4541,0.359,0.3827,0.2007,0.4384,0.3128,0.3758,0.2137,3,2,True,False,flag_instability,True,False,False,False,not_selected|flag_instability
mlp_classifier_baseline,sklearn.neural_network._multilayer_perceptron.MLPClassifier,0.3398,0.3617,0.347,0.3692,0.3478,0.3786,0.4662,0.4449,0.2261,0.2762,0.5271,0.5754,0.1939,0.2519,4,1,False,True,pass,True,False,True,True,selected_for_tuning|provisional_production_candidate|pass
logistic_regression_baseline,sklearn.linear_model._logistic.LogisticRegression,0.3112,0.3311,0.3113,0.3789,0.3279,0.3378,0.1662,0.2919,0.3344,0.1558,0.133,0.2626,0.3152,0.1374,5,3,True,False,flag_instability,True,False,False,False,not_selected|flag_instability
linear_svc_baseline,sklearn.svm._classes.LinearSVC,0.3072,0.3142,0.3074,0.3657,0.3369,0.3284,0.131,0.2353,0.3355,0.1498,0.0936,0.1899,0.3152,0.1298,6,4,True,False,fail_test_f1_sell|fail_test_recall_sell|flag_instability,True,False,False,False,not_selected|fail_test_f1_sell|fail_test_recall_sell|flag_instability
